,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4213,重富伸也,55,22,6.84,1,0.08,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
1,2,2,3507,藤井徹,72,46,6.84,2,0.01,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
2,3,4,4241,大串重幸,62,26,6.87,4,0.16,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
3,4,5,4395,下河雅史,11,43,6.96,5,0.14,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
4,5,3,5048,眞鳥康太,43,39,6.92,3,0.06,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
5,6,6,4204,柴田大輔,25,53,6.84,6,0.12,24,1R,晴,西,2,1,2021_10_31,2021_10_31_24_1R
6,1,2,4825,倉持莉々,19,34,6.90,2,0.11,24,2R,晴,西,2,1,2021_10_31,2021_10_31_24_2R
7,2,3,4963,實森美祐,17,61,6.85,3,0.18,24,2R,晴,西,2,1,2021_10_31,2021_10_31_24_2R
8,3,4,3334,角ひとみ,48,40,6.86,4,0.22,24,2R,晴,西,2,1,2021_10_31,2021_10_31_24_2R
9,4,1,5094,生田波美音,35,49,6.89,1,0.14,24,2R,晴,西,2,1,2021_10_31,2021_10_31_24_2R
10,5,5,3618,海野ゆかり,23,15,6.93,5,0.17,24,2R,晴,西,2,1,2021_10_31,2021_10_31_24_2R
11,1,3,3940,飯山泰,76,19,6.90,3,0.16,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
12,2,4,4027,松江秀徳,52,31,6.97,4,0.17,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
13,3,1,4169,多田有佑,49,72,6.92,1,0.26,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
14,4,6,3485,竹村祥司,30,45,6.98,6,0.28,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
15,5,5,3964,宮地博士,27,73,6.98,5,0.28,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
16,6,2,4211,村田敦,61,28,7.01,2,0.23,24,3R,晴,北西,2,1,2021_10_31,2021_10_31_24_3R
17,1,1,3582,吉川昭男,56,16,6.89,1,0.23,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
18,2,4,4847,佐藤隆太郎,57,51,6.83,3,0.19,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
19,3,6,4099,吉永則雄,41,70,6.97,4,0.16,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
20,4,2,4508,野間大樹,32,14,6.92,5,0.26,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
21,5,5,3741,松尾基成,18,64,6.93,6,0.28,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
22,6,3,4478,櫻本あゆみ,69,35,6.91,2,0.21,24,4R,晴,北,3,2,2021_10_31,2021_10_31_24_4R
23,1,6,4543,重木輝彦,65,75,6.74,6,0.18,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
24,2,1,3915,繁野谷圭介,24,48,6.83,1,0.14,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
25,3,4,3527,中嶋誠一郎,38,52,6.82,4,0.28,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
26,4,2,4575,戸塚邦好,28,54,6.83,2,0.12,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
27,5,5,4874,池田奈津美,37,47,6.79,5,0.25,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
28,6,3,4919,吉田翔悟,36,71,6.82,3,0.26,24,5R,晴,北,3,2,2021_10_31,2021_10_31_24_5R
29,1,1,3872,岡田憲行,45,63,6.86,1,0.17,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
30,2,3,4189,川上剛,29,20,6.83,3,0.16,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
31,3,5,4472,尾嶋一広,71,13,6.82,5,0.17,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
32,4,2,5048,眞鳥康太,43,39,6.85,2,0.22,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
33,5,4,3859,多羅尾達之,13,65,6.85,4,0.18,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
34,6,6,5070,中島航,39,17,6.81,6,0.21,24,6R,晴,北,3,2,2021_10_31,2021_10_31_24_6R
35,1,1,3284,渡邊伸太郎,46,33,6.85,1,0.11,24,7R,晴,北,2,1,2021_10_31,2021_10_31_24_7R
36,2,2,4204,柴田大輔,25,53,6.79,2,0.12,24,7R,晴,北,2,1,2021_10_31,2021_10_31_24_7R
37,3,4,4174,赤坂俊輔,21,76,6.86,4,0.12,24,7R,晴,北,2,1,2021_10_31,2021_10_31_24_7R
38,4,3,4779,伊倉光,60,23,6.79,3,0.05,24,7R,晴,北,2,1,2021_10_31,2021_10_31_24_7R
39,5,5,4211,村田敦,61,28,6.88,5,0.16,24,7R,晴,北,2,1,2021_10_31,2021_10_31_24_7R
40,1,1,4099,吉永則雄,41,70,6.74,1,0.09,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
41,2,2,3940,飯山泰,76,19,6.76,2,0.09,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
42,3,3,3507,藤井徹,72,46,6.79,3,0.10,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
43,4,6,4478,櫻本あゆみ,69,35,6.81,6,0.07,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
44,5,4,4077,品田直樹,31,44,6.85,4,0.13,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
45,6,5,4661,中島昂章,63,55,6.81,5,0.15,24,8R,晴,北,2,1,2021_10_31,2021_10_31_24_8R
46,1,1,4543,重木輝彦,65,75,6.75,1,0.05,24,9R,晴,北,1,1,2021_10_31,2021_10_31_24_9R
47,2,4,4963,實森美祐,17,61,6.80,4,0.06,24,9R,晴,北,1,1,2021_10_31,2021_10_31_24_9R
48,3,5,3872,岡田憲行,45,63,6.86,5,0.11,24,9R,晴,北,1,1,2021_10_31,2021_10_31_24_9R
49,4,6,4169,多田有佑,49,72,6.86,6,0.16,24,9R,晴,北,1,1,2021_10_31,2021_10_31_24_9R
50,5,2,4395,下河雅史,11,43,6.89,2,0.11,24,9R,晴,北,1,1,2021_10_31,2021_10_31_24_9R
51,1,1,4472,尾嶋一広,71,13,6.80,1,0.11,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
52,2,3,3527,中嶋誠一郎,38,52,6.87,3,0.14,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
53,3,5,3582,吉川昭男,56,16,6.81,4,0.23,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
54,4,6,3284,渡邊伸太郎,46,33,6.84,5,0.25,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
55,5,2,3434,松尾宣邦,68,29,6.90,2,0.14,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
56,6,4,4213,重富伸也,55,22,6.89,6,0.22,24,10R,晴,南東,1,1,2021_10_31,2021_10_31_24_10R
57,1,1,4174,赤坂俊輔,21,76,6.87,1,0.11,24,11R,晴,南,1,1,2021_10_31,2021_10_31_24_11R
58,2,2,4189,川上剛,29,20,6.82,2,0.18,24,11R,晴,南,1,1,2021_10_31,2021_10_31_24_11R
