,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
1,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
2,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
3,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
4,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
5,1R,晴,西,3,2,大村,2022_8_9,1-2-6,2280,,1030,1-2,470,1-2,210,,,,,,,,,,
6,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
7,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
8,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
9,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
10,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
11,2R,晴,西,3,2,大村,2022_8_9,3-2-4,2410,,490,3-2,1590,2-3,670,,,,,,,,,,
12,3R,晴,西,3,2,大村,2022_8_9,4-3-5,41720,,4220,4-3,7930,3-4,2020,,,,,,,,,,
13,3R,晴,西,3,2,大村,2022_8_9,4-3-5,41720,,4220,4-3,7930,3-4,2020,,,,,,,,,,
14,3R,晴,西,3,2,大村,2022_8_9,4-3-5,41720,,4220,4-3,7930,3-4,2020,,,,,,,,,,
15,3R,晴,西,3,2,大村,2022_8_9,4-3-5,41720,,4220,4-3,7930,3-4,2020,,,,,,,,,,
16,3R,晴,西,3,2,大村,2022_8_9,4-3-5,41720,,4220,4-3,7930,3-4,2020,,,,,,,,,,
17,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
18,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
19,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
20,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
21,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
22,4R,晴,西,2,1,大村,2022_8_9,1-4-3,1640,,600,1-4,380,1-4,340,,,,,,,,,,
23,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
24,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
25,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
26,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
27,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
28,5R,晴,西,3,2,大村,2022_8_9,2-1-6,940,,530,2-1,310,1-2,150,,,,,,,,,,
29,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
30,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
31,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
32,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
33,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
34,6R,晴,西,3,2,大村,2022_8_9,1-2-4,2320,,1230,1-2,220,1-2,140,,,,,,,,,,
35,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
36,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
37,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
38,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
39,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
40,7R,晴,南西,3,2,大村,2022_8_9,1-2-4,560,,430,1-2,180,1-2,230,,,,,,,,,,
41,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
42,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
43,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
44,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
45,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
46,8R,晴,南西,2,1,大村,2022_8_9,1-4-3,6930,,2920,1-4,1090,1-4,770,,,,,,,,,,
47,9R,晴,南西,2,1,大村,2022_8_9,1-4-3,510,,240,1-4,270,1-4,200,,,,,,,,,,
48,9R,晴,南西,2,1,大村,2022_8_9,1-4-3,510,,240,1-4,270,1-4,200,,,,,,,,,,
