,2連単_払戻,3連単_払戻,3連複_払戻,予測,結果,RaceID
0,0.0,0.0,0.0,1-2-x,1-1-x,2019-07-19-24-05
1,0.0,0.0,180.0,1-3-2,3-2-1,2019-07-19-24-06
2,260.0,730.0,210.0,1-4-3,1-4-3,2019-07-19-24-07
3,0.0,0.0,140.0,1-3-4,3-1-4,2019-07-19-24-08
4,0.0,0.0,0.0,1-3-5,1-2-4,2019-07-19-24-09
5,0.0,0.0,0.0,1-4-2,1-3-4,2019-07-19-24-10
6,0.0,0.0,0.0,1-2-3,2-3-5,2019-07-19-24-11
7,230.0,0.0,0.0,1-4-3,1-4-2,2019-07-19-24-12
8,0.0,0.0,0.0,1-3-5,5-6-4,2019-07-19-21-01
9,0.0,0.0,0.0,1-5-4,1-3-2,2019-07-19-21-02
10,0.0,0.0,0.0,1-4-2,4-3-1,2019-07-19-21-03
11,0.0,0.0,0.0,1-4-3,5-4-1,2019-07-19-21-04
12,0.0,0.0,0.0,1-4-2,1-3-5,2019-07-19-21-05
13,0.0,0.0,0.0,1-3-4,4-1-2,2019-07-19-21-06
14,0.0,0.0,0.0,1-2-3,1-4-5,2019-07-19-21-07
15,320.0,1100.0,440.0,1-2-3,1-2-3,2019-07-19-21-08
16,0.0,0.0,0.0,1-2-4,1-3-4,2019-07-19-21-09
17,0.0,0.0,270.0,1-2-5,1-5-2,2019-07-19-21-10
18,0.0,0.0,0.0,1-2-3,4-1-6,2019-07-19-21-11
19,0.0,0.0,260.0,1-3-4,1-4-3,2019-07-19-21-12
20,250.0,540.0,310.0,1-3-4,1-3-4,2019-07-19-18-01
21,0.0,0.0,0.0,1-4-2,1-2-3,2019-07-19-18-02
22,330.0,0.0,0.0,1-3-6,1-3-4,2019-07-19-18-03
23,0.0,0.0,0.0,1-2-3,1-4-3,2019-07-19-18-04
24,0.0,0.0,0.0,1-4-2,3-1-2,2019-07-19-18-05
25,0.0,0.0,0.0,1-4-2,2-1-5,2019-07-19-18-06
26,0.0,0.0,0.0,1-4-3,3-1-5,2019-07-19-18-07
27,0.0,0.0,0.0,1-4-6,1-6-2,2019-07-19-18-08
28,0.0,0.0,0.0,1-3-6,1-2-6,2019-07-19-18-09
29,180.0,0.0,0.0,1-2-3,1-2-5,2019-07-19-18-10
30,0.0,0.0,240.0,1-2-3,2-1-3,2019-07-19-18-11
31,0.0,0.0,0.0,1-2-3,2-1-5,2019-07-19-18-12
32,0.0,0.0,260.0,1-2-3,3-2-1,2019-07-19-17-01
