,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R,着,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,pred,pred_rank
0,1,5011,高木圭大,25,15,52,2,4.1,20.0,3.51,11.65,29.76,38.81,2022-11-26-24-01,24,1,1,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,0.3659199522578409,1.0
1,2,5191,飛田江己,21,3,52,2,4.59,22.22,0.0,0.0,45.35,31.94,2022-11-26-24-01,24,1,3,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,-0.23994681476649732,2.0
2,3,5154,村松栄太,26,7,52,2,2.03,2.53,1.82,0.0,35.0,31.51,2022-11-26-24-01,24,1,5,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,-2.3467357460157348,5.0
3,4,5064,品川二千,24,5,51,2,4.7,25.0,3.09,17.39,23.19,34.78,2022-11-26-24-01,24,1,4,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,-0.8993302295138561,3.0
4,5,5128,坪井爽佑,25,0,58,2,3.83,22.62,1.94,5.56,25.37,30.14,2022-11-26-24-01,24,1,6,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,-1.932949018983401,4.0
5,6,5210,藤井公人,24,13,56,3,1.63,0.0,1.13,0.0,39.02,39.13,2022-11-26-24-01,24,1,2,1-6-2,29720,1-2-6,2880,1-6,8860,1-6,4270,-3.113514053416543,6.0
6,1,5074,大澤誠也,27,9,55,2,4.48,20.49,4.27,27.27,28.4,31.43,2022-11-26-24-02,24,2,2,4-1-6,1370,1-4-6,230,4-1,640,1-4,420,0.6525317875765142,1.0
7,2,5111,三村岳人,23,6,51,2,3.63,18.75,3.67,19.05,23.94,33.33,2022-11-26-24-02,24,2,4,4-1-6,1370,1-4-6,230,4-1,640,1-4,420,-1.0683940842769213,4.0
8,3,5130,上野拓馬,24,0,52,2,2.91,7.81,0.0,0.0,28.57,33.78,2022-11-26-24-02,24,2,5,4-1-6,1370,1-4-6,230,4-1,640,1-4,420,-1.7491871892847113,5.0
9,4,4950,高岡竜也,29,5,52,1,5.92,39.18,3.08,16.67,20.83,30.14,2022-11-26-24-02,24,2,1,4-1-6,1370,1-4-6,230,4-1,640,1-4,420,-0.42393239189693416,3.0
