,2連単_払戻,3連単_払戻,3連複_払戻,予測,結果,RaceID
0,0.0,0.0,0.0,1-2-4,1-6-2,2022-11-26-24-01
1,0.0,0.0,230.0,1-6-4,4-1-6,2022-11-26-24-02
2,0.0,0.0,0.0,1-4-2,1-3-2,2022-11-26-24-03
3,0.0,0.0,0.0,2-4-3,1-2-3,2022-11-26-24-04
4,0.0,0.0,0.0,2-5-1,4-5-6,2022-11-26-24-05
5,0.0,0.0,230.0,1-3-6,3-6-1,2022-11-26-24-06
6,0.0,0.0,0.0,1-3-4,1-2-4,2022-11-26-24-07
7,370.0,810.0,240.0,1-5-4,1-5-4,2022-11-26-24-08
8,0.0,0.0,0.0,1-2-6,1-5-6,2022-11-26-24-09
9,0.0,0.0,0.0,1-2-3,1-3-5,2022-11-26-24-10
10,0.0,0.0,0.0,1-4-2,1-5-4,2022-11-26-24-11
11,0.0,0.0,0.0,1-2-3,1-4-6,2022-11-26-24-12
12,280.0,730.0,290.0,1-3-2,1-3-2,2022-11-26-23-01
13,150.0,0.0,0.0,1-2-3,1-2-4,2022-11-26-23-02
14,0.0,0.0,0.0,1-2-3,1-3-4,2022-11-26-23-03
15,160.0,0.0,0.0,1-4-2,1-4-5,2022-11-26-23-04
16,0.0,0.0,0.0,1-2-3,4-1-3,2022-11-26-23-05
17,0.0,0.0,0.0,3-2-1,5-3-2,2022-11-26-23-06
18,0.0,0.0,300.0,3-5-1,3-1-5,2022-11-26-23-07
19,0.0,0.0,0.0,1-4-6,4-3-6,2022-11-26-23-08
20,0.0,0.0,0.0,3-2-1,2-1-6,2022-11-26-23-09
21,0.0,0.0,370.0,1-2-5,1-5-2,2022-11-26-23-10
22,0.0,0.0,350.0,1-4-2,1-2-4,2022-11-26-23-11
23,0.0,0.0,0.0,1-4-2,1-2-5,2022-11-26-23-12
24,0.0,0.0,0.0,1-3-2,3-4-1,2022-11-26-22-01
25,0.0,0.0,160.0,1-4-2,1-2-4,2022-11-26-22-02
26,0.0,0.0,0.0,1-4-2,1-2-3,2022-11-26-22-03
27,310.0,0.0,0.0,1-3-4,1-3-2,2022-11-26-22-04
28,610.0,980.0,190.0,3-2-1,3-2-1,2022-11-26-22-05
29,0.0,0.0,0.0,1-3-6,3-2-6,2022-11-26-22-06
30,230.0,0.0,0.0,1-3-2,1-3-5,2022-11-26-22-07
31,0.0,0.0,290.0,1-4-2,1-2-4,2022-11-26-22-08
32,310.0,0.0,0.0,1-3-4,1-3-2,2022-11-26-22-09
33,0.0,0.0,0.0,1-3-4,1-2-4,2022-11-26-22-10
34,200.0,0.0,0.0,1-2-4,1-2-3,2022-11-26-22-11
35,200.0,0.0,0.0,1-2-4,1-2-5,2022-11-26-22-12
36,300.0,800.0,380.0,1-3-4,1-3-4,2022-11-26-17-01
37,0.0,0.0,300.0,1-2-3,1-3-2,2022-11-26-17-02
38,340.0,0.0,0.0,2-1-3,2-1-5,2022-11-26-17-03
39,0.0,0.0,240.0,1-2-3,2-1-3,2022-11-26-17-04
40,0.0,0.0,0.0,1-2-4,1-4-3,2022-11-26-17-05
41,0.0,0.0,0.0,1-5-2,1-2-3,2022-11-26-17-06
42,0.0,0.0,0.0,2-1-4,1-3-4,2022-11-26-17-07
43,0.0,0.0,0.0,1-2-3,1-3-4,2022-11-26-17-08
44,450.0,0.0,0.0,1-5-3,1-5-4,2022-11-26-17-09
45,770.0,0.0,0.0,1-6-5,1-6-3,2022-11-26-17-10
46,0.0,0.0,1130.0,1-2-3,1-3-2,2022-11-26-17-11
47,0.0,0.0,0.0,1-2-3,1-3-6,2022-11-26-17-12
48,0.0,0.0,320.0,1-2-3,1-3-2,2022-11-26-16-01
49,0.0,0.0,0.0,1-4-2,1-2-3,2022-11-26-16-02
50,0.0,0.0,0.0,5-2-1,3-5-1,2022-11-26-16-03
51,0.0,0.0,0.0,2-4-1,2-1-6,2022-11-26-16-04
52,0.0,0.0,0.0,1-4-5,1-6-4,2022-11-26-16-05
53,0.0,0.0,440.0,1-2-3,3-2-1,2022-11-26-16-06
54,0.0,0.0,0.0,1-2-3,1-4-2,2022-11-26-16-07
55,350.0,0.0,0.0,2-1-3,2-1-6,2022-11-26-16-08
56,0.0,0.0,0.0,1-2-3,3-1-4,2022-11-26-16-09
57,0.0,0.0,0.0,1-3-5,1-5-2,2022-11-26-16-10
58,0.0,0.0,190.0,1-2-3,1-3-2,2022-11-26-16-11
59,380.0,780.0,320.0,1-2-3,1-2-3,2022-11-26-16-12
60,0.0,0.0,0.0,1-2-4,2-6-1,2022-11-26-15-01
61,340.0,0.0,0.0,2-1-4,2-1-5,2022-11-26-15-02
62,0.0,0.0,0.0,1-2-3,1-4-5,2022-11-26-15-03
63,220.0,0.0,0.0,1-6-5,1-6-2,2022-11-26-15-04
64,0.0,0.0,0.0,1-2-5,5-6-2,2022-11-26-15-05
65,0.0,0.0,160.0,1-3-4,3-1-4,2022-11-26-15-06
66,0.0,0.0,0.0,1-2-3,6-1-2,2022-11-26-15-07
67,180.0,0.0,0.0,1-2-4,1-2-6,2022-11-26-15-08
68,0.0,0.0,220.0,1-3-2,1-2-3,2022-11-26-15-09
69,0.0,0.0,0.0,1-2-4,1-3-6,2022-11-26-15-10
70,240.0,530.0,240.0,1-3-2,1-3-2,2022-11-26-15-11
71,0.0,0.0,0.0,1-3-5,1-5-6,2022-11-26-15-12
72,0.0,0.0,0.0,1-3-2,2-4-3,2022-11-26-14-01
